$,$,$
Tricchetracht Francoforte,7603,1
Tricchetracht Francoforte,7472,1
Tricchetracht Francoforte,7414,5
Tricchetracht Francoforte,7412,3
Tricchetracht Francoforte,7351,1
Tricchetracht Francoforte,7342,1
Tricchetracht Francoforte,7154,1
Tricchetracht Francoforte,6990,1
Tricchetracht Francoforte,6904,20
Tricchetracht Francoforte,6844,20
Tricchetracht Francoforte,6415,1
Tricchetracht Francoforte,5862,3
Tricchetracht Francoforte,5800,16
Tricchetracht Francoforte,5735,1
Tricchetracht Francoforte,5555,7
Tricchetracht Francoforte,4998,44
Tricchetracht Francoforte,4964,34
Tricchetracht Francoforte,4817,1
Tricchetracht Francoforte,4364,1
Tricchetracht Francoforte,2848,36
Tricchetracht Francoforte,2832,1
Tricchetracht Francoforte,2764,122
Tricchetracht Francoforte,2194,55
Tricchetracht Francoforte,2137,38
Tricchetracht Francoforte,254,81
$,$,$
Il sesto Asensio,7556,16
Il sesto Asensio,7529,11
Il sesto Asensio,7223,11
Il sesto Asensio,7162,1
Il sesto Asensio,7126,44
Il sesto Asensio,7017,64
Il sesto Asensio,6966,35
Il sesto Asensio,6813,3
Il sesto Asensio,6618,11
Il sesto Asensio,6572,30
Il sesto Asensio,6519,7
Il sesto Asensio,6495,10
Il sesto Asensio,6060,19
Il sesto Asensio,6042,25
Il sesto Asensio,5739,21
Il sesto Asensio,5685,4
Il sesto Asensio,5678,6
Il sesto Asensio,5526,14
Il sesto Asensio,5436,9
Il sesto Asensio,5022,30
Il sesto Asensio,4312,36
Il sesto Asensio,4179,8
Il sesto Asensio,2788,43
Il sesto Asensio,2606,28
Il sesto Asensio,530,8
$,$,$
Pesciculini FC,7561,1
Pesciculini FC,7181,55
Pesciculini FC,6967,30
Pesciculini FC,6827,2
Pesciculini FC,6826,1
Pesciculini FC,6503,7
Pesciculini FC,6435,25
Pesciculini FC,6398,11
Pesciculini FC,6215,12
Pesciculini FC,5995,20
Pesciculini FC,5877,2
Pesciculini FC,5422,1
Pesciculini FC,5273,2
Pesciculini FC,4887,3
Pesciculini FC,4349,1
Pesciculini FC,4210,21
Pesciculini FC,2724,13
Pesciculini FC,2521,14
Pesciculini FC,2296,42
Pesciculini FC,2170,35
Pesciculini FC,2097,63
Pesciculini FC,1870,54
Pesciculini FC,572,49
Pesciculini FC,536,18
Pesciculini FC,22,14
$,$,$
PARTIZAN DEGRADO,7599,4
PARTIZAN DEGRADO,7311,7
PARTIZAN DEGRADO,7294,21
PARTIZAN DEGRADO,7219,14
PARTIZAN DEGRADO,7060,3
PARTIZAN DEGRADO,6989,10
PARTIZAN DEGRADO,6956,32
PARTIZAN DEGRADO,6869,31
PARTIZAN DEGRADO,6684,25
PARTIZAN DEGRADO,6675,17
PARTIZAN DEGRADO,6662,15
PARTIZAN DEGRADO,6434,25
PARTIZAN DEGRADO,6274,27
PARTIZAN DEGRADO,6204,13
PARTIZAN DEGRADO,5888,9
PARTIZAN DEGRADO,5823,17
PARTIZAN DEGRADO,5637,19
PARTIZAN DEGRADO,5559,30
PARTIZAN DEGRADO,5172,27
PARTIZAN DEGRADO,4994,8
PARTIZAN DEGRADO,4923,20
PARTIZAN DEGRADO,4807,20
PARTIZAN DEGRADO,4431,33
PARTIZAN DEGRADO,2134,7
PARTIZAN DEGRADO,531,35
$,$,$
AC Asparaghese,7622,1
AC Asparaghese,7554,1
AC Asparaghese,7532,1
AC Asparaghese,7523,1
AC Asparaghese,7436,12
AC Asparaghese,7272,4
AC Asparaghese,7078,20
AC Asparaghese,7070,27
AC Asparaghese,6908,23
AC Asparaghese,6867,15
AC Asparaghese,6320,4
AC Asparaghese,5885,1
AC Asparaghese,5734,26
AC Asparaghese,5589,31
AC Asparaghese,5585,151
AC Asparaghese,5514,16
AC Asparaghese,4976,42
AC Asparaghese,4664,5
AC Asparaghese,4485,1
AC Asparaghese,4401,6
AC Asparaghese,4360,20
AC Asparaghese,4236,15
AC Asparaghese,2423,43
AC Asparaghese,1850,24
AC Asparaghese,184,5
$,$,$
San Gria,7623,5
San Gria,7600,1
